entity,soc
src/modules/orders/classes/__tests__/OrderDetailsView.spec.ts,630
src/modules/bids-deprecated/app/bid-table-cell/OrderListBid.spec.ts,628
src/common/http/errors/GenericServiceErrors.spec.ts,626
src/modules/bids/store/mocks/getters.ts,618
src/common/components/__tests__/TransportRequestStatusTableCell.spec.ts,618
src/modules/bids/app/bidding-block/bid-form/useBidForm.ts,615
src/modules/bids-deprecated/services/BiddingClient.spec.ts,612
src/modules/filters/components/filter-list/SavedLanesCarousel.vue,610
src/modules/bids/composition/useBidActions.spec.ts,610
src/modules/bids/services/index.ts,607
src/modules/bids-deprecated/app/bidding-block/bid-form/BidForm.spec.ts,607
src/modules/bids/composition/useBids.spec.ts,606
.gitignore,606
src/modules/tender/store/actions.ts,604
src/modules/orders/components/order-details/order-content/order-load-details/order-route-details/__tests__/loadStopsList.spec.ts,602
src/modules/marketplace/components/orders/__tests__/MarketplaceTable.spec.ts,600
src/modules/bids/store/mutations.ts,599
src/modules/tender/components/tender-list/__tests__/TenderList.spec.ts,595
src/modules/bids/composition/useLowestBidPrice.spec.ts,594
src/modules/bids-deprecated/app/bid-table-cell/actions/OrderListBidActions.spec.ts,593
src/modules/orders/components/order-details/order-content/order-load-details/OrderDetailsSectionHeadline.vue,592
src/common/components/__tests__/VehicleTypes.spec.ts,592
src/modules/tender/components/tender-details/TenderDetailsFloatingBlock.vue,588
src/modules/marketplace/components/__tests__/Marketplace.spec.ts,588
src/modules/bids/models/mocks/index.ts,588
src/modules/bids/app/PlaceBid.spec.ts,587
src/modules/tender/components/tender-list/__tests__/TendersTable.spec.ts,586
src/modules/tender/components/tender-list/__tests__/TenderTableRow.spec.ts,586
src/modules/marketplace/components/orders/MarketplaceTable.vue,586
src/modules/bids/app/bidding-block/bid-form/useBidForm.spec.ts,583
src/experiments/price-guidance/components/PriceGuidanceBanner.spec.ts,583
src/modules/orders/components/common/OrderRouteStop.vue,582
src/modules/bids/app/bid-table-cell/actions/OrderListBidActions.spec.ts,575
src/common/services/errors/GenericServiceErrors.ts,575
src/common/services/interfaces/IGenericService.ts,574
src/modules/orders/store/actions.ts,573
webpack/webpack.common.js,572
src/modules/bids/services/mocks/BiddingService.ts,570
src/modules/bids-deprecated/models/Bid.ts,569
src/modules/filters/segmentEvents.ts,568
src/modules/bids/app/OrderBid.spec.ts,568
src/modules/bids/app/ChangeBid.spec.ts,568
src/modules/bids/app/OrderBid.vue,566
src/modules/bids/services/mocks/BiddingService-mock.ts,565
src/modules/bids/services/mocks/BiddingClient-mock.ts,565
src/modules/orders/components/order-details/order-content/order-load-details/order-description/__tests__/OrderDetailsLoadSection.spec.ts,563
src/modules/bids/services/errors/index.ts,563
src/modules/tender/segmentEvents.ts,562
src/modules/marketplace/components/orders/OrderRouteTableCells.vue,562
src/modules/bids/store/mutations.spec.ts,562
src/modules/bids/composition/useBidActions.ts,562
src/modules/bids-deprecated/events/BidEventConsumer.spec.ts,562
src/common/services/interfaces/IGetService.ts,561
