entity,added,deleted,commits
src/modules/accept-now/events/AcceptNowEventConsumer.spec.ts,236,145,12
src/modules/accept-now/app/AcceptNowContent.vue,236,244,10
src/modules/bids/composition/useBidActions.spec.ts,235,372,8
src/modules/bids-deprecated/app/bid-table-cell/status/OrderListBidStatus.spec.ts,235,1,3
src/modules/bids/services/BiddingClient.spec.ts,235,358,11
src/modules/bids/services/BiddingCarrierService.spec.ts,233,27,4
src/modules/bids/app/bidding-block/bidding-statuses/BiddingStatuses.spec.ts,229,411,5
src/modules/bids/app/bid-details/bid-input/BidInputWithCondition.vue,228,228,7
src/modules/accept-now/app/useAcceptNowConfirm.ts,227,201,25
src/modules/bids-deprecated/services/BiddingLegacyOrderService.spec.ts,226,20,4
webpack/webpack.common.js,226,121,20
src/modules/orders/components/order-details/order-header/OrderDetailsPagination.vue,226,54,7
src/modules/filters/components/filter-list/SavedLaneList.spec.ts,225,75,4
src/modules/assignments/components/AssignmentRow.vue,224,518,14
src/modules/accept-now/app/accept-now-block/AcceptNowBlock.vue,224,224,14
src/modules/assignments/mocks/order.ts,224,264,5
src/modules/bids/tracking/BidEventConsumer.spec.ts,222,222,4
src/modules/accept-now-deprecated/app/accept-now-block/AcceptNowBlock.spec.ts,221,99,4
webpack/webpack.prod.js,221,74,21
src/modules/bids/app/bidding-block/CancelBid.spec.ts,220,220,3
src/modules/marketplace/components/MarketplaceAllLanes.vue,219,219,16
src/modules/filters/components/filter-add/SavedLaneConfirmDialog.spec.ts,219,73,4
src/modules/tender/components/tender-list/__tests__/TenderList.spec.ts,218,218,7
src/common/components/NonAccessPlaceholder.vue,218,106,16
src/modules/filters/base/helpers.ts,218,58,8
src/modules/orders/components/order-details/order-content/order-mobile/OrderBidDialog.vue,217,226,12
src/modules/orders/components/common/OrderRouteStop.vue,217,124,8
src/modules/bids/app/floating-block/OrderDetailsFloatingBlock.vue,217,217,5
src/modules/assignments/mocks/store.mock.ts,217,563,10
src/modules/bids-deprecated/store/actions.spec.ts,216,16,6
src/modules/bids-deprecated/store/actions.ts,216,26,6
src/modules/bids/app/bid-details/floating-block/OrderDetailsFloatingBlock.spec.ts,215,215,3
src/modules/orders/components/order-details/order-content/order-load-details/order-description/OrderDetailsDescription.vue,214,82,3
src/events/EventBus.spec.ts,214,6,3
src/modules/marketplace/components/MarketplaceTabs.spec.ts,213,14,3
src/common/components/NonAccessPlaceholder.spec.ts,212,9,5
src/modules/bids/app/bid-details/PlaceBid.spec.ts,211,211,7
src/modules/transport-offers/services/CharteringLoadService.spec.ts,211,25,5
src/modules/bids/app/bidding-block/useBidInAwaitingMatchingConfirmationState.spec.ts,210,286,8
src/modules/filters/components/filter-details/SavedLaneDetails.vue,207,203,11
src/modules/filters/components/common/AddressTypeAhead.spec.ts,207,19,5
src/modules/filters/components/filter-edit/FilterEditDialog.vue,207,0,1
src/common/http/axios-client.ts,206,61,11
src/modules/filters/components/filter-bar/Sorting.vue,206,121,16
src/filters/application/useFilters.ts,206,206,13
src/modules/bids/store/actions.spec.ts,206,306,8
src/modules/bids/tracking/BidEventConsumer.ts,205,254,8
src/modules/orders/components/common/__tests__/AcceptNowConfirmDialog.spec.ts,205,205,6
src/modules/bids/app/PlaceBid.spec.ts,205,205,7
src/modules/filters/services/SavedLaneService.spec.ts,204,107,7
